NN;flatFileRowCounterr;nMaxx;tSeqDB;bTermDB;vertexDBVertex;vertexDegreeDB;vertexScalarDB;vertexDB;targetEvaluate
8;2;30;2;22;1 1 2 0 0;2;1;1 1 2 0 0;256
8;2;30;2;22;0 600 0 0 0;0;600;0 600 0 0 0;256
8;2;30;2;22;1 -25 1 0 0;1;-25;1 -25 1 0 0;256
8;3;30;4;22;1 -25 1 0 0;1;-25;1 -25 1 0 0;256
8;3;30;4;22;1 1 2 0 0;2;1;1 1 2 0 0;256
8;3;30;4;22;0 650 0 0 0;0;650;0 650 0 0 0;256
8;3;30;4;22;1 -26 1 0 0;1;-26;1 -26 1 0 0;256
8;4;30;8;22;1 -26 1 0 0;1;-26;1 -26 1 0 0;256
8;4;30;8;22;1 1 2 0 0;2;1;1 1 2 0 0;256
8;4;30;8;22;0 702 0 0 0;0;702;0 702 0 0 0;256
8;4;30;8;22;1 -27 1 0 0;1;-27;1 -27 1 0 0;256
8;5;30;16;22;1 -27 1 0 0;1;-27;1 -27 1 0 0;256
8;5;30;16;22;1 1 2 0 0;2;1;1 1 2 0 0;256
8;5;30;16;22;0 756 0 0 0;0;756;0 756 0 0 0;256
8;5;30;16;22;1 -28 1 0 0;1;-28;1 -28 1 0 0;256
8;6;30;32;22;1 -28 1 0 0;1;-28;1 -28 1 0 0;256
8;6;30;32;22;1 1 2 0 0;2;1;1 1 2 0 0;256
8;6;30;32;22;0 812 0 0 0;0;812;0 812 0 0 0;256
8;6;30;32;22;1 -29 1 0 0;1;-29;1 -29 1 0 0;256
8;7;30;64;22;1 -29 1 0 0;1;-29;1 -29 1 0 0;256
8;7;30;64;22;1 1 2 0 0;2;1;1 1 2 0 0;256
8;7;30;64;22;0 870 0 0 0;0;870;0 870 0 0 0;256
8;7;30;64;22;1 -30 1 0 0;1;-30;1 -30 1 0 0;256
9;-1;30;1;1;0 10 -1 0 0;-1;10;0 10 -1 0 0;512
9;0;30;1;21;1 -21 1 0 0;1;-21;1 -21 1 0 0;512
9;0;30;1;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;0;30;1;21;0 462 0 0 0;0;462;0 462 0 0 0;512
9;0;30;1;21;1 -22 1 0 0;1;-22;1 -22 1 0 0;512
9;1;30;1;21;1 -22 1 0 0;1;-22;1 -22 1 0 0;512
9;1;30;1;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;1;30;1;21;0 506 0 0 0;0;506;0 506 0 0 0;512
9;1;30;1;21;1 -23 1 0 0;1;-23;1 -23 1 0 0;512
9;2;30;2;21;1 -23 1 0 0;1;-23;1 -23 1 0 0;512
9;2;30;2;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;2;30;2;21;0 552 0 0 0;0;552;0 552 0 0 0;512
9;2;30;2;21;1 -24 1 0 0;1;-24;1 -24 1 0 0;512
9;3;30;4;21;1 -24 1 0 0;1;-24;1 -24 1 0 0;512
9;3;30;4;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;3;30;4;21;0 600 0 0 0;0;600;0 600 0 0 0;512
9;3;30;4;21;1 -25 1 0 0;1;-25;1 -25 1 0 0;512
9;4;30;8;21;1 -25 1 0 0;1;-25;1 -25 1 0 0;512
9;4;30;8;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;4;30;8;21;0 650 0 0 0;0;650;0 650 0 0 0;512
9;4;30;8;21;1 -26 1 0 0;1;-26;1 -26 1 0 0;512
9;5;30;16;21;1 -26 1 0 0;1;-26;1 -26 1 0 0;512
9;5;30;16;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;5;30;16;21;0 702 0 0 0;0;702;0 702 0 0 0;512
9;5;30;16;21;1 -27 1 0 0;1;-27;1 -27 1 0 0;512
9;6;30;32;21;1 -27 1 0 0;1;-27;1 -27 1 0 0;512
9;6;30;32;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;6;30;32;21;0 756 0 0 0;0;756;0 756 0 0 0;512
9;6;30;32;21;1 -28 1 0 0;1;-28;1 -28 1 0 0;512
9;7;30;64;21;1 -28 1 0 0;1;-28;1 -28 1 0 0;512
9;7;30;64;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;7;30;64;21;0 812 0 0 0;0;812;0 812 0 0 0;512
9;7;30;64;21;1 -29 1 0 0;1;-29;1 -29 1 0 0;512
9;8;30;128;21;1 -29 1 0 0;1;-29;1 -29 1 0 0;512
9;8;30;128;21;1 1 2 0 0;2;1;1 1 2 0 0;512
9;8;30;128;21;0 870 0 0 0;0;870;0 870 0 0 0;512
9;8;30;128;21;1 -30 1 0 0;1;-30;1 -30 1 0 0;512
10;-1;30;1;1;0 11 -1 0 0;-1;11;0 11 -1 0 0;1024
10;0;30;1;20;1 -20 1 0 0;1;-20;1 -20 1 0 0;1024
10;0;30;1;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;0;30;1;20;0 420 0 0 0;0;420;0 420 0 0 0;1024
10;0;30;1;20;1 -21 1 0 0;1;-21;1 -21 1 0 0;1024
10;1;30;1;20;1 -21 1 0 0;1;-21;1 -21 1 0 0;1024
10;1;30;1;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;1;30;1;20;0 462 0 0 0;0;462;0 462 0 0 0;1024
10;1;30;1;20;1 -22 1 0 0;1;-22;1 -22 1 0 0;1024
10;2;30;2;20;1 -22 1 0 0;1;-22;1 -22 1 0 0;1024
10;2;30;2;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;2;30;2;20;0 506 0 0 0;0;506;0 506 0 0 0;1024
10;2;30;2;20;1 -23 1 0 0;1;-23;1 -23 1 0 0;1024
10;3;30;4;20;1 -23 1 0 0;1;-23;1 -23 1 0 0;1024
10;3;30;4;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;3;30;4;20;0 552 0 0 0;0;552;0 552 0 0 0;1024
10;3;30;4;20;1 -24 1 0 0;1;-24;1 -24 1 0 0;1024
10;4;30;8;20;1 -24 1 0 0;1;-24;1 -24 1 0 0;1024
10;4;30;8;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;4;30;8;20;0 600 0 0 0;0;600;0 600 0 0 0;1024
10;4;30;8;20;1 -25 1 0 0;1;-25;1 -25 1 0 0;1024
10;5;30;16;20;1 -25 1 0 0;1;-25;1 -25 1 0 0;1024
10;5;30;16;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;5;30;16;20;0 650 0 0 0;0;650;0 650 0 0 0;1024
10;5;30;16;20;1 -26 1 0 0;1;-26;1 -26 1 0 0;1024
10;6;30;32;20;1 -26 1 0 0;1;-26;1 -26 1 0 0;1024
10;6;30;32;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;6;30;32;20;0 702 0 0 0;0;702;0 702 0 0 0;1024
10;6;30;32;20;1 -27 1 0 0;1;-27;1 -27 1 0 0;1024
10;7;30;64;20;1 -27 1 0 0;1;-27;1 -27 1 0 0;1024
10;7;30;64;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;7;30;64;20;0 756 0 0 0;0;756;0 756 0 0 0;1024
10;7;30;64;20;1 -28 1 0 0;1;-28;1 -28 1 0 0;1024
10;8;30;128;20;1 -28 1 0 0;1;-28;1 -28 1 0 0;1024
10;8;30;128;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;8;30;128;20;0 812 0 0 0;0;812;0 812 0 0 0;1024
10;8;30;128;20;1 -29 1 0 0;1;-29;1 -29 1 0 0;1024
10;9;30;256;20;1 -29 1 0 0;1;-29;1 -29 1 0 0;1024
10;9;30;256;20;1 1 2 0 0;2;1;1 1 2 0 0;1024
10;9;30;256;20;0 870 0 0 0;0;870;0 870 0 0 0;1024
10;9;30;256;20;1 -30 1 0 0;1;-30;1 -30 1 0 0;1024
11;-1;30;1;1;0 12 -1 0 0;-1;12;0 12 -1 0 0;2048
11;0;30;1;19;1 -19 1 0 0;1;-19;1 -19 1 0 0;2048
11;0;30;1;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;0;30;1;19;0 380 0 0 0;0;380;0 380 0 0 0;2048
11;0;30;1;19;1 -20 1 0 0;1;-20;1 -20 1 0 0;2048
11;1;30;1;19;1 -20 1 0 0;1;-20;1 -20 1 0 0;2048
11;1;30;1;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;1;30;1;19;0 420 0 0 0;0;420;0 420 0 0 0;2048
11;1;30;1;19;1 -21 1 0 0;1;-21;1 -21 1 0 0;2048
11;2;30;2;19;1 -21 1 0 0;1;-21;1 -21 1 0 0;2048
11;2;30;2;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;2;30;2;19;0 462 0 0 0;0;462;0 462 0 0 0;2048
11;2;30;2;19;1 -22 1 0 0;1;-22;1 -22 1 0 0;2048
11;3;30;4;19;1 -22 1 0 0;1;-22;1 -22 1 0 0;2048
11;3;30;4;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;3;30;4;19;0 506 0 0 0;0;506;0 506 0 0 0;2048
11;3;30;4;19;1 -23 1 0 0;1;-23;1 -23 1 0 0;2048
11;4;30;8;19;1 -23 1 0 0;1;-23;1 -23 1 0 0;2048
11;4;30;8;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;4;30;8;19;0 552 0 0 0;0;552;0 552 0 0 0;2048
11;4;30;8;19;1 -24 1 0 0;1;-24;1 -24 1 0 0;2048
11;5;30;16;19;1 -24 1 0 0;1;-24;1 -24 1 0 0;2048
11;5;30;16;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;5;30;16;19;0 600 0 0 0;0;600;0 600 0 0 0;2048
11;5;30;16;19;1 -25 1 0 0;1;-25;1 -25 1 0 0;2048
11;6;30;32;19;1 -25 1 0 0;1;-25;1 -25 1 0 0;2048
11;6;30;32;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;6;30;32;19;0 650 0 0 0;0;650;0 650 0 0 0;2048
11;6;30;32;19;1 -26 1 0 0;1;-26;1 -26 1 0 0;2048
11;7;30;64;19;1 -26 1 0 0;1;-26;1 -26 1 0 0;2048
11;7;30;64;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;7;30;64;19;0 702 0 0 0;0;702;0 702 0 0 0;2048
11;7;30;64;19;1 -27 1 0 0;1;-27;1 -27 1 0 0;2048
11;8;30;128;19;1 -27 1 0 0;1;-27;1 -27 1 0 0;2048
11;8;30;128;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;8;30;128;19;0 756 0 0 0;0;756;0 756 0 0 0;2048
11;8;30;128;19;1 -28 1 0 0;1;-28;1 -28 1 0 0;2048
11;9;30;256;19;1 -28 1 0 0;1;-28;1 -28 1 0 0;2048
11;9;30;256;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;9;30;256;19;0 812 0 0 0;0;812;0 812 0 0 0;2048
11;9;30;256;19;1 -29 1 0 0;1;-29;1 -29 1 0 0;2048
11;10;30;512;19;1 -29 1 0 0;1;-29;1 -29 1 0 0;2048
11;10;30;512;19;1 1 2 0 0;2;1;1 1 2 0 0;2048
11;10;30;512;19;0 870 0 0 0;0;870;0 870 0 0 0;2048
11;10;30;512;19;1 -30 1 0 0;1;-30;1 -30 1 0 0;2048
12;-1;30;1;1;0 13 -1 0 0;-1;13;0 13 -1 0 0;4096
12;0;30;1;18;1 -18 1 0 0;1;-18;1 -18 1 0 0;4096
12;0;30;1;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;0;30;1;18;0 342 0 0 0;0;342;0 342 0 0 0;4096
12;0;30;1;18;1 -19 1 0 0;1;-19;1 -19 1 0 0;4096
12;1;30;1;18;1 -19 1 0 0;1;-19;1 -19 1 0 0;4096
12;1;30;1;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;1;30;1;18;0 380 0 0 0;0;380;0 380 0 0 0;4096
12;1;30;1;18;1 -20 1 0 0;1;-20;1 -20 1 0 0;4096
12;2;30;2;18;1 -20 1 0 0;1;-20;1 -20 1 0 0;4096
12;2;30;2;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;2;30;2;18;0 420 0 0 0;0;420;0 420 0 0 0;4096
12;2;30;2;18;1 -21 1 0 0;1;-21;1 -21 1 0 0;4096
12;3;30;4;18;1 -21 1 0 0;1;-21;1 -21 1 0 0;4096
12;3;30;4;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;3;30;4;18;0 462 0 0 0;0;462;0 462 0 0 0;4096
12;3;30;4;18;1 -22 1 0 0;1;-22;1 -22 1 0 0;4096
12;4;30;8;18;1 -22 1 0 0;1;-22;1 -22 1 0 0;4096
12;4;30;8;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;4;30;8;18;0 506 0 0 0;0;506;0 506 0 0 0;4096
12;4;30;8;18;1 -23 1 0 0;1;-23;1 -23 1 0 0;4096
12;5;30;16;18;1 -23 1 0 0;1;-23;1 -23 1 0 0;4096
12;5;30;16;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;5;30;16;18;0 552 0 0 0;0;552;0 552 0 0 0;4096
12;5;30;16;18;1 -24 1 0 0;1;-24;1 -24 1 0 0;4096
12;6;30;32;18;1 -24 1 0 0;1;-24;1 -24 1 0 0;4096
12;6;30;32;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;6;30;32;18;0 600 0 0 0;0;600;0 600 0 0 0;4096
12;6;30;32;18;1 -25 1 0 0;1;-25;1 -25 1 0 0;4096
12;7;30;64;18;1 -25 1 0 0;1;-25;1 -25 1 0 0;4096
12;7;30;64;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;7;30;64;18;0 650 0 0 0;0;650;0 650 0 0 0;4096
12;7;30;64;18;1 -26 1 0 0;1;-26;1 -26 1 0 0;4096
12;8;30;128;18;1 -26 1 0 0;1;-26;1 -26 1 0 0;4096
12;8;30;128;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;8;30;128;18;0 702 0 0 0;0;702;0 702 0 0 0;4096
12;8;30;128;18;1 -27 1 0 0;1;-27;1 -27 1 0 0;4096
12;9;30;256;18;1 -27 1 0 0;1;-27;1 -27 1 0 0;4096
12;9;30;256;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;9;30;256;18;0 756 0 0 0;0;756;0 756 0 0 0;4096
12;9;30;256;18;1 -28 1 0 0;1;-28;1 -28 1 0 0;4096
12;10;30;512;18;1 -28 1 0 0;1;-28;1 -28 1 0 0;4096
12;10;30;512;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;10;30;512;18;0 812 0 0 0;0;812;0 812 0 0 0;4096
12;10;30;512;18;1 -29 1 0 0;1;-29;1 -29 1 0 0;4096
12;11;30;1024;18;1 -29 1 0 0;1;-29;1 -29 1 0 0;4096
12;11;30;1024;18;1 1 2 0 0;2;1;1 1 2 0 0;4096
12;11;30;1024;18;0 870 0 0 0;0;870;0 870 0 0 0;4096
12;11;30;1024;18;1 -30 1 0 0;1;-30;1 -30 1 0 0;4096
13;-1;30;1;1;0 14 -1 0 0;-1;14;0 14 -1 0 0;8192
13;0;30;1;17;1 -17 1 0 0;1;-17;1 -17 1 0 0;8192
13;0;30;1;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;0;30;1;17;0 306 0 0 0;0;306;0 306 0 0 0;8192
13;0;30;1;17;1 -18 1 0 0;1;-18;1 -18 1 0 0;8192
13;1;30;1;17;1 -18 1 0 0;1;-18;1 -18 1 0 0;8192
13;1;30;1;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;1;30;1;17;0 342 0 0 0;0;342;0 342 0 0 0;8192
13;1;30;1;17;1 -19 1 0 0;1;-19;1 -19 1 0 0;8192
13;2;30;2;17;1 -19 1 0 0;1;-19;1 -19 1 0 0;8192
13;2;30;2;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;2;30;2;17;0 380 0 0 0;0;380;0 380 0 0 0;8192
13;2;30;2;17;1 -20 1 0 0;1;-20;1 -20 1 0 0;8192
13;3;30;4;17;1 -20 1 0 0;1;-20;1 -20 1 0 0;8192
13;3;30;4;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;3;30;4;17;0 420 0 0 0;0;420;0 420 0 0 0;8192
13;3;30;4;17;1 -21 1 0 0;1;-21;1 -21 1 0 0;8192
13;4;30;8;17;1 -21 1 0 0;1;-21;1 -21 1 0 0;8192
13;4;30;8;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;4;30;8;17;0 462 0 0 0;0;462;0 462 0 0 0;8192
13;4;30;8;17;1 -22 1 0 0;1;-22;1 -22 1 0 0;8192
13;5;30;16;17;1 -22 1 0 0;1;-22;1 -22 1 0 0;8192
13;5;30;16;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;5;30;16;17;0 506 0 0 0;0;506;0 506 0 0 0;8192
13;5;30;16;17;1 -23 1 0 0;1;-23;1 -23 1 0 0;8192
13;6;30;32;17;1 -23 1 0 0;1;-23;1 -23 1 0 0;8192
13;6;30;32;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;6;30;32;17;0 552 0 0 0;0;552;0 552 0 0 0;8192
13;6;30;32;17;1 -24 1 0 0;1;-24;1 -24 1 0 0;8192
13;7;30;64;17;1 -24 1 0 0;1;-24;1 -24 1 0 0;8192
13;7;30;64;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;7;30;64;17;0 600 0 0 0;0;600;0 600 0 0 0;8192
13;7;30;64;17;1 -25 1 0 0;1;-25;1 -25 1 0 0;8192
13;8;30;128;17;1 -25 1 0 0;1;-25;1 -25 1 0 0;8192
13;8;30;128;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;8;30;128;17;0 650 0 0 0;0;650;0 650 0 0 0;8192
13;8;30;128;17;1 -26 1 0 0;1;-26;1 -26 1 0 0;8192
13;9;30;256;17;1 -26 1 0 0;1;-26;1 -26 1 0 0;8192
13;9;30;256;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;9;30;256;17;0 702 0 0 0;0;702;0 702 0 0 0;8192
13;9;30;256;17;1 -27 1 0 0;1;-27;1 -27 1 0 0;8192
13;10;30;512;17;1 -27 1 0 0;1;-27;1 -27 1 0 0;8192
13;10;30;512;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;10;30;512;17;0 756 0 0 0;0;756;0 756 0 0 0;8192
13;10;30;512;17;1 -28 1 0 0;1;-28;1 -28 1 0 0;8192
13;11;30;1024;17;1 -28 1 0 0;1;-28;1 -28 1 0 0;8192
13;11;30;1024;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;11;30;1024;17;0 812 0 0 0;0;812;0 812 0 0 0;8192
13;11;30;1024;17;1 -29 1 0 0;1;-29;1 -29 1 0 0;8192
13;12;30;2048;17;1 -29 1 0 0;1;-29;1 -29 1 0 0;8192
13;12;30;2048;17;1 1 2 0 0;2;1;1 1 2 0 0;8192
13;12;30;2048;17;0 870 0 0 0;0;870;0 870 0 0 0;8192
13;12;30;2048;17;1 -30 1 0 0;1;-30;1 -30 1 0 0;8192
14;-1;30;1;1;0 15 -1 0 0;-1;15;0 15 -1 0 0;16384
14;0;30;1;16;1 -16 1 0 0;1;-16;1 -16 1 0 0;16384
14;0;30;1;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;0;30;1;16;0 272 0 0 0;0;272;0 272 0 0 0;16384
14;0;30;1;16;1 -17 1 0 0;1;-17;1 -17 1 0 0;16384
14;1;30;1;16;1 -17 1 0 0;1;-17;1 -17 1 0 0;16384
14;1;30;1;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;1;30;1;16;0 306 0 0 0;0;306;0 306 0 0 0;16384
14;1;30;1;16;1 -18 1 0 0;1;-18;1 -18 1 0 0;16384
14;2;30;2;16;1 -18 1 0 0;1;-18;1 -18 1 0 0;16384
14;2;30;2;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;2;30;2;16;0 342 0 0 0;0;342;0 342 0 0 0;16384
14;2;30;2;16;1 -19 1 0 0;1;-19;1 -19 1 0 0;16384
14;3;30;4;16;1 -19 1 0 0;1;-19;1 -19 1 0 0;16384
14;3;30;4;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;3;30;4;16;0 380 0 0 0;0;380;0 380 0 0 0;16384
14;3;30;4;16;1 -20 1 0 0;1;-20;1 -20 1 0 0;16384
14;4;30;8;16;1 -20 1 0 0;1;-20;1 -20 1 0 0;16384
14;4;30;8;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;4;30;8;16;0 420 0 0 0;0;420;0 420 0 0 0;16384
14;4;30;8;16;1 -21 1 0 0;1;-21;1 -21 1 0 0;16384
14;5;30;16;16;1 -21 1 0 0;1;-21;1 -21 1 0 0;16384
14;5;30;16;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;5;30;16;16;0 462 0 0 0;0;462;0 462 0 0 0;16384
14;5;30;16;16;1 -22 1 0 0;1;-22;1 -22 1 0 0;16384
14;6;30;32;16;1 -22 1 0 0;1;-22;1 -22 1 0 0;16384
14;6;30;32;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;6;30;32;16;0 506 0 0 0;0;506;0 506 0 0 0;16384
14;6;30;32;16;1 -23 1 0 0;1;-23;1 -23 1 0 0;16384
14;7;30;64;16;1 -23 1 0 0;1;-23;1 -23 1 0 0;16384
14;7;30;64;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;7;30;64;16;0 552 0 0 0;0;552;0 552 0 0 0;16384
14;7;30;64;16;1 -24 1 0 0;1;-24;1 -24 1 0 0;16384
14;8;30;128;16;1 -24 1 0 0;1;-24;1 -24 1 0 0;16384
14;8;30;128;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;8;30;128;16;0 600 0 0 0;0;600;0 600 0 0 0;16384
14;8;30;128;16;1 -25 1 0 0;1;-25;1 -25 1 0 0;16384
14;9;30;256;16;1 -25 1 0 0;1;-25;1 -25 1 0 0;16384
14;9;30;256;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;9;30;256;16;0 650 0 0 0;0;650;0 650 0 0 0;16384
14;9;30;256;16;1 -26 1 0 0;1;-26;1 -26 1 0 0;16384
14;10;30;512;16;1 -26 1 0 0;1;-26;1 -26 1 0 0;16384
14;10;30;512;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;10;30;512;16;0 702 0 0 0;0;702;0 702 0 0 0;16384
14;10;30;512;16;1 -27 1 0 0;1;-27;1 -27 1 0 0;16384
14;11;30;1024;16;1 -27 1 0 0;1;-27;1 -27 1 0 0;16384
14;11;30;1024;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;11;30;1024;16;0 756 0 0 0;0;756;0 756 0 0 0;16384
14;11;30;1024;16;1 -28 1 0 0;1;-28;1 -28 1 0 0;16384
14;12;30;2048;16;1 -28 1 0 0;1;-28;1 -28 1 0 0;16384
14;12;30;2048;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;12;30;2048;16;0 812 0 0 0;0;812;0 812 0 0 0;16384
14;12;30;2048;16;1 -29 1 0 0;1;-29;1 -29 1 0 0;16384
14;13;30;4096;16;1 -29 1 0 0;1;-29;1 -29 1 0 0;16384
14;13;30;4096;16;1 1 2 0 0;2;1;1 1 2 0 0;16384
14;13;30;4096;16;0 870 0 0 0;0;870;0 870 0 0 0;16384
14;13;30;4096;16;1 -30 1 0 0;1;-30;1 -30 1 0 0;16384
15;-1;30;1;1;0 16 -1 0 0;-1;16;0 16 -1 0 0;32768
15;0;30;1;15;1 -15 1 0 0;1;-15;1 -15 1 0 0;32768
15;0;30;1;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;0;30;1;15;0 240 0 0 0;0;240;0 240 0 0 0;32768
15;0;30;1;15;1 -16 1 0 0;1;-16;1 -16 1 0 0;32768
15;1;30;1;15;1 -16 1 0 0;1;-16;1 -16 1 0 0;32768
15;1;30;1;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;1;30;1;15;0 272 0 0 0;0;272;0 272 0 0 0;32768
15;1;30;1;15;1 -17 1 0 0;1;-17;1 -17 1 0 0;32768
15;2;30;2;15;1 -17 1 0 0;1;-17;1 -17 1 0 0;32768
15;2;30;2;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;2;30;2;15;0 306 0 0 0;0;306;0 306 0 0 0;32768
15;2;30;2;15;1 -18 1 0 0;1;-18;1 -18 1 0 0;32768
15;3;30;4;15;1 -18 1 0 0;1;-18;1 -18 1 0 0;32768
15;3;30;4;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;3;30;4;15;0 342 0 0 0;0;342;0 342 0 0 0;32768
15;3;30;4;15;1 -19 1 0 0;1;-19;1 -19 1 0 0;32768
15;4;30;8;15;1 -19 1 0 0;1;-19;1 -19 1 0 0;32768
15;4;30;8;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;4;30;8;15;0 380 0 0 0;0;380;0 380 0 0 0;32768
15;4;30;8;15;1 -20 1 0 0;1;-20;1 -20 1 0 0;32768
15;5;30;16;15;1 -20 1 0 0;1;-20;1 -20 1 0 0;32768
15;5;30;16;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;5;30;16;15;0 420 0 0 0;0;420;0 420 0 0 0;32768
15;5;30;16;15;1 -21 1 0 0;1;-21;1 -21 1 0 0;32768
15;6;30;32;15;1 -21 1 0 0;1;-21;1 -21 1 0 0;32768
15;6;30;32;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;6;30;32;15;0 462 0 0 0;0;462;0 462 0 0 0;32768
15;6;30;32;15;1 -22 1 0 0;1;-22;1 -22 1 0 0;32768
15;7;30;64;15;1 -22 1 0 0;1;-22;1 -22 1 0 0;32768
15;7;30;64;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;7;30;64;15;0 506 0 0 0;0;506;0 506 0 0 0;32768
15;7;30;64;15;1 -23 1 0 0;1;-23;1 -23 1 0 0;32768
15;8;30;128;15;1 -23 1 0 0;1;-23;1 -23 1 0 0;32768
15;8;30;128;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;8;30;128;15;0 552 0 0 0;0;552;0 552 0 0 0;32768
15;8;30;128;15;1 -24 1 0 0;1;-24;1 -24 1 0 0;32768
15;9;30;256;15;1 -24 1 0 0;1;-24;1 -24 1 0 0;32768
15;9;30;256;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;9;30;256;15;0 600 0 0 0;0;600;0 600 0 0 0;32768
15;9;30;256;15;1 -25 1 0 0;1;-25;1 -25 1 0 0;32768
15;10;30;512;15;1 -25 1 0 0;1;-25;1 -25 1 0 0;32768
15;10;30;512;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;10;30;512;15;0 650 0 0 0;0;650;0 650 0 0 0;32768
15;10;30;512;15;1 -26 1 0 0;1;-26;1 -26 1 0 0;32768
15;11;30;1024;15;1 -26 1 0 0;1;-26;1 -26 1 0 0;32768
15;11;30;1024;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;11;30;1024;15;0 702 0 0 0;0;702;0 702 0 0 0;32768
15;11;30;1024;15;1 -27 1 0 0;1;-27;1 -27 1 0 0;32768
15;12;30;2048;15;1 -27 1 0 0;1;-27;1 -27 1 0 0;32768
15;12;30;2048;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;12;30;2048;15;0 756 0 0 0;0;756;0 756 0 0 0;32768
15;12;30;2048;15;1 -28 1 0 0;1;-28;1 -28 1 0 0;32768
15;13;30;4096;15;1 -28 1 0 0;1;-28;1 -28 1 0 0;32768
15;13;30;4096;15;1 1 2 0 0;2;1;1 1 2 0 0;32768
15;13;30;4096;15;0 812 0 0 0;0;812;0 812 0 0 0;32768
